English,Glossary_Czech,AI_Czech,Match_Level,Match_Desc
%d entities selected,%d vybrané entity,Vybráno %d entit,3,mismatch
%s - PCL Properties Dialog,%s - Panel vlastností PCL,%s - dialogové okno Vlastnosti PCL,3,mismatch
&Break Size:,Velikost p&řerušení:,&Velikost přestávky:,3,mismatch
&Scale of Fraction:,M&ěřítko Frakce:,&Měřítko zlomku:,3,mismatch
&Starting Arrowhead,&Počáteční šipka,&Startovací šipka,3,mismatch
(Block selected),(Vybraný blok),(Vybrán blok),3,mismatch
** ITEM SPACING **,** ROZTEČ POLOŽEK **,** VZDÁLENOST POLOŽEK **,3,mismatch
** MOVE WITH LEADER **,** POSUNOUT TEXT S ODKAZEM **,** POHYB S VŮDCI **,3,mismatch
3Point _3Point,3Body _3Point,3bod _3bod,3,mismatch
<Group on>,<Skupina ano>,<Skupina zapnuta>,3,mismatch
<SLIDEOUT>,<SLIDEOUT>,<VYSUNUTÍ>,3,mismatch
"\n%ls already exists, do you want to replace it? [Yes/No]\n","\n%ls již existuje, chcete ho nahradit? [Ano/Ne]\n","\n%ls již existuje, chcete jej nahradit? [Ano/Ne]\n",3,mismatch
\nAbort:,\nZrušit:,\nPřerušit:,3,mismatch
\nArc/Distance/Follow/Halfwidth/Width/<Next point>:,\nOblouk/vzDálenost/Sledovat/Pološířka/šířKa/<déLka bod>:,\nOblouk/Vzdálenost/Následovat/Poloviční šířka/Šířka/<Další bod>:,3,mismatch
\nCannot create plane surface due to following endpoints not co-incident:,"\nNelze vytvořit rovinný povrch kvůli následujícím koncovým bodům, které nejsou společné:","\nNelze vytvořit rovinný povrch, protože následující koncové body nejsou shodné:",3,mismatch
\nChamfer mode now set to Distance method.,\nMetoda zkosení je nastavena na vzdálenost.,\nRežim zkosení je nyní nastaven na Distance method.,3,mismatch
\nEdge selection has been completely undone,\nVýběr hrany byl celkově vrácen zpět,\nVýběr okraje byl zcela zrušen,3,mismatch
\nEnter a gradient name or [?/Single color/Two color] <%ls>:,\nZadejte název gradientu nebo [?/Jedna barva/Dvě barvy] <%ls>:,\nZadejte název přechodu nebo [?/Jedna barva/Dvě barvy] <%ls>:,3,mismatch
\nEnter description <%ls>:,\nZadat popis <%ls>:,\nZadejte popis <%ls>:,3,mismatch
\nEnter new crop state name:,\nZadejte nový název stavu oříznutí:,\nZadejte název nového stavu oříznutí:,3,mismatch
\nEnter PDF underlay option [Fade/Contrast/Monochrome] <%ls>:,\nZadejte možnost PDF podložení [Vybledlý/Kontrastní/Černobílý] <%ls>:,\nZadejte možnost podložení PDF [Fade/Contrast/Monochrome] <%ls>:,3,mismatch
\nEnter search directory and drawing name <%s>:,\nZadejte hledaný adresář a název výkresu <%s>:,\nZadejte vyhledávací adresář a název výkresu <%s>:,3,mismatch
\nEnter the name(s) of Xref to bind <*>:,\nZadejte název Xref pro vázání <*>:,\nZadejte název (názvy) Xref pro vazbu <*>:,3,mismatch
\nFail to read database.,\nSelhání čtení databáze.,\nNelze přečíst databázi.,3,mismatch
\nFile %s not found.,\nSoubor %s nenalezen.,\nSoubor %s nebyl nalezen.,3,mismatch
\nFile size:,\nVelikost souboru:,\nVelikost souboru:,0,exact
\nInput units number in modal space <1.0>:,\nZadejte počet jednotek v modelovém prostoru <1.0>:,\nZadejte počet jednotek v modálním prostoru <1.0>:,3,mismatch
\nLast saved by: %s,\nNaposledy uložil: %s,\nNaposledy uloženo: %s,3,mismatch
\nLines with coincident endpoints are needed.,\nJsou požadovány shodné koncové body.,\nJsou potřeba řádky se shodnými koncovými body.,3,mismatch
"\nLinetype definition (positive numbers for lines, negative for spaces): \n  A,","\nDefinice typu čáry (kladné čísla pro čáry, záporné pro mezery): \n  A,","\nDefinice typu čáry (kladná čísla pro řádky, záporná pro mezery): \n A,",3,mismatch
\nNo 3dSolids selected.,\nNebylo vybráno žádné 3D Těleso.,\nNení vybrán žádný 3dSolids.,3,mismatch
"\nPlot scale can't be 0, please input again.","\nMěřítko tisku nemůže být 0, vložte prosím znovu.","\nMěřítko grafu nemůže být 0, zadejte prosím znovu.",3,mismatch
\nSelect objects or [SIngle/Show all/Hide all/Reset all]:,\nVybrat objekty nebo [Jednotlivě/Zobrazit vše/Skrýt vše/Resetovat vše]:,\nVyberte objekty nebo [JEDNO/Zobrazit vše/Skrýt vše/Obnovit vše]:,3,mismatch
\nSelect objects whose layer is to be changed:,\nVybrat objekty které se mají změnit:,"\nVyberte objekty, jejichž vrstva se má změnit:",3,mismatch
