English,Czech
"""%ls"" is a Xref. You can't redefine it.","""%ls"" je Xref. Nemůžete ho znovu definovat."
"""%ls"" is already defined as a block in this drawing. Do you want to redefine this block reference?","""%ls"" je již v tomto výkresu definováno jako blok. Chcete předefinovat tuto referenci bloku?"
"""%ls"" is an invalid layer state name.","""%ls"" je neplatný název stavu hladin."
"""%ls"" is invalid linetype name.","""%ls"" je neplatný název typu čáry."
"""%ls"": Error found.","""%ls"": Byla nalezena chyba."
"""%ls"": No errors or warnings.","""%ls"": Žádné chyby nebo varování."
"""%s"" \r\ncannot be used as Error Report","""%s"" \r\nNemůže být použit jako Chybová správa"
"""%s"" cannot be found.\n","""%s"" nemůže být nalezen.\n"
"""%s"" file is in use.\nPlease specify other file name.","""%s"" se používá.\nUrčete prosím jiný název souboru."
"""%s"" has not been changed.\n","""%s"" nebyl změněn.\n"
"""%s"" is in use. Please specify another file name.","""%s"" se používá. Určete prosím jiný název souboru."
"""%s"" is loaded.\n","""%s"" je načten.\n"
"""%s"" is unreferenced.\n","""%s"" není referenční.\n"
"""%s"" reference file has been changed since the host drawing was last saved.","Referenční soubor ""%s"" byl změněn od posledního uložení hostitelského výkresu."
"""%s""is already used as a transmittal setup name.\nEnter a new name for this transmittal setup.","""%s""je již použit jako název nastavení přenosu.\nZadejte nový název pro toto nastavení přenosu."
"""%s""is not a valid folder name.\nEnter a valid folder name for the transmittal files.","""%s""není platný název adresáře.\nZadejte pletný název adresáře pro soubory přenosu."
"""%s""No file found.","""%s""Nemohu najít soubor."
"""; warning: symbol redefined: "" ~A \r","""; Varování: symbol předefinován: "" ~A \r"
"""Annotation Text Height "" - combo box",Výška textu poznámky - combo box
"""Button"" Node","""Tlačítko"" uzel"
"""call failure""","""volání selhalo"""
"""Click"" Node","""Klikněte"" na uzel"
"""request error""","""chyba požadavku"""
"""request rejected""","""žádost byla zamítnuta"""
"""unknown call error:"" ~A","""neznámá chyba volání:"" ~A"
#!optional argument must be a symbol,#!volitelný argument musí být symbol
"$(if,$(!=,$(getvar,annoselected),1),~)&amp;Delete Current Scale","$(if,$(!=,$(getvar,annoselected),1),~)&amp;Odstranit Aktuální Měřítko"
"$(if,$(&gt;, $(getvar,qpmode),0),!.)Quick Properties","$(if,$(&gt;, $(getvar,qpmode),0),!.)Rychlé Vlastnosti"
"$(if,$(&gt;,$(getvar,dynmode),0),!.)&amp;Dynamic Input","$(if,$(&gt;,$(getvar,dynmode),0),!.)&amp;Dynamické zadání"
"$(if,$(=,$(getvar,cvport),1),~)A&amp;nnotative Scale","$(if,$(=,$(getvar,cvport),1),~)P&amp;oznámkové měřítko"
"$(if,$(and,$(&gt;,$(getvar,objcountstate),0)),!.)Object &amp;Count","$(if,$(and,$(&gt;,$(getvar,objcountstate),0)),!.)&amp;Počet objektů"
"$(if,$(and,$(&gt;,$(getvar,opmstate),0)),!.)Propert&amp;ies\tCtrl+1","$(if,$(and,$(&gt;,$(getvar,opmstate),0)),!.)Vlastnost&amp;i\tCtrl+1"
"$(if,$(and,$(=,$(getvar,lockui),0)),~,)&amp;Unlocked","$(if,$(and,$(=,$(getvar,lockui),0)),~,)&amp;Odemčený"
"$(if,$(and,$(=,$(getvar,lockui),15)),~,)&amp;Lock","$(if,$(and,$(=,$(getvar,lockui),15)),~,)&amp;Uzamknout"
"$(if,$(and,$(and,$(getvar,lockui),1)),!.)Docked T&amp;oolbars","$(if,$(and,$(and,$(getvar,lockui),1)),!.)Ukotvené p&amp;anely nástrojů"
"$(if,$(and,$(and,$(getvar,lockui),2)),!.)Docked W&amp;indows","$(if,$(and,$(and,$(getvar,lockui),2)),!.)Ukotvená o&amp;kna"
"$(if,$(and,$(and,$(getvar,lockui),4)),!.)Floating &amp;Toolbars","$(if,$(and,$(and,$(getvar,lockui),4)),!.)Plovoucí &amp;panely nástrojů"
"$(if,$(and,$(and,$(getvar,lockui),8)),!.)Floating &amp;Windows","$(if,$(and,$(and,$(getvar,lockui),8)),!.)Plovoucí &amp;okna"
"$(if,$(and,$(eq,$(getvar,tilemode),0),$(eq,$(getvar,cvport),1)),~,)&amp;3D Views","$(if,$(and,$(eq,$(getvar,tilemode),0),$(eq,$(getvar,cvport),1)),~,)&amp;3D Pohledy"
"$(if,$(and,$(eq,$(getvar,tilemode),0),$(eq,$(getvar,cvport),1)),~,)Visual &amp;Styles","$(if,$(and,$(eq,$(getvar,tilemode),0),$(eq,$(getvar,cvport),1)),~,)Vizuální &amp;styly"
"$(if,$(and,$(getvar,_zw_viewcubeshow),1),!.)&amp;On","$(if,$(and,$(getvar,_zw_viewcubeshow),1),!.)&amp;Ano"
"$(if,$(and,$(getvar,adcstate),1),!.)Desi&amp;gn Center\tCtrl+2","$(if,$(and,$(getvar,adcstate),1),!.)Desi&amp;gn Center\tCtrl+2"
"$(if,$(and,$(getvar,CleanScreenState),1),!.)Full S&amp;creen\tCtrl+0","$(if,$(and,$(getvar,CleanScreenState),1),!.)&amp;Celá obrazovka\tCtrl+0"
"$(if,$(and,$(getvar,dgnosnap),1),!.)DGN Ob&amp;ject Snap","$(if,$(and,$(getvar,dgnosnap),1),!.)DGN Ucho&amp;pení objektů"
"$(if,$(and,$(getvar,dwfosnap),1),!.)DWF Ob&amp;ject Snap","$(if,$(and,$(getvar,dwfosnap),1),!.)DWF Ucho&amp;pení objektů"
"$(if,$(and,$(getvar,layermanagerstate),1),!.)&amp;Layer Properties","$(if,$(and,$(getvar,layermanagerstate),1),!.)&amp;Vlastnosti hladiny"
"$(if,$(and,$(getvar,parametersstatus),1),!.)Parameters &amp;Manager","$(if,$(and,$(getvar,parametersstatus),1),!.)Správce para&amp;metrů"
"$(if,$(and,$(getvar,pdfosnap),1),!.)PDF Ob&amp;ject Snap","$(if,$(and,$(getvar,pdfosnap),1),!.)PDF Ucho&amp;pení objektů"
"$(if,$(and,$(getvar,ssmstate),1),!.)&amp;Sheet Set Manager\tCtrl+4","$(if,$(and,$(getvar,ssmstate),1),!.)&amp;Správce sady listů\tCtrl+4"
"$(if,$(and,$(getvar,toolboxstate),1),!.)ZWCAD &amp;Toolbox","$(if,$(and,$(getvar,toolboxstate),1),!.)ZWCAD &amp;Toolbox"
"$(if,$(and,$(getvar,tpstate),1),!.)Tool &amp;Palettes\tCtrl+3","$(if,$(and,$(getvar,tpstate),1),!.)Palety &amp;Nástrojů\tCtrl+3"
"$(if,$(and,$(getvar,ucsicon),1),!.)&amp;On","$(if,$(and,$(getvar,ucsicon),1),!.)&amp;Ano"
"$(if,$(and,$(getvar,ucsicon),2),!.)O&amp;rigin","$(if,$(and,$(getvar,ucsicon),2),!.)&amp;Počátek"
"$(if,$(eq,$(getvar,attmode),0),!.)O&amp;ff","$(if,$(eq,$(getvar,attmode),0),!.)&amp;Ne"
"$(if,$(eq,$(getvar,attmode),1),!.)&amp;Normal","$(if,$(eq,$(getvar,attmode),1),!.)&amp;Normální"
"$(if,$(eq,$(getvar,attmode),2),!.)&amp;On","$(if,$(eq,$(getvar,attmode),2),!.)&amp;Ano"
"$(if,$(eq,$(getvar,clistate),1),!.)&amp;Command Line\tCtrl+9","$(if,$(eq,$(getvar,clistate),1),!.)&amp;Příkazový řádek\tCtrl+9"
"$(if,$(eq,$(getvar,findpanelstate),1),!.)&amp;Find and Replace\tCtrl+F","$(if,$(eq,$(getvar,findpanelstate),1),!.)&amp;Najít a nahradit\tCtrl+F"
"$(if,$(eq,$(getvar,pstylemode),1),~,)Plot St&amp;yle...","$(if,$(eq,$(getvar,pstylemode),1),~,)St&amp;yl Vykreslování..."
"$(if,$(eq,$(getvar,qcstate),1),!.)&amp;Quick Calc\t Ctrl+8","$(if,$(eq,$(getvar,qcstate),1),!.)&amp;Rychlý kalkulátor\t Ctrl+8"
"$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Add to Working Set","$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Přidat do Pracovní Sady"
"$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Discard Reference Edits","$(if,$(eq,$(getvar,refeditname),&quot;&quot;),~,)&amp;Vyřaď úpravy reference"
