English,Czech,AI_Czech,Match_Desc
\nFile size:,\nVelikost souboru:,\nVelikost souboru:,exact
\nSelect view to update or [All views]:,\nVyberte zobrazení k aktualizaci nebo [Všechna zobrazení]:,\nVyberte zobrazení k aktualizaci nebo [Všechna zobrazení]:,exact
\nSpecify the end point of text:,\nUrčete koncový bod textu:,\nUrčete koncový bod textu:,exact
\nSpecify the first endpoint of the circle's diameter:,\nUrčete první koncový bod průměru kružnice:,\nUrčete první koncový bod průměru kružnice:,exact
Add to Dictionary,Přidat do slovníku,Přidat do slovníku,exact
Add to Favorites,Přidat k oblíbeným,Přidat k oblíbeným,exact
Apply to:,Použít na:,Použít na:,exact
Automatically update fields when file is regenerating.,Automaticky aktualizovat pole při regeneraci souboru.,Automaticky aktualizovat pole při regeneraci souboru.,exact
Blocks Tools,Nástroje bloků,Nástroje bloků,exact
Char spacing,Rozteč znaků,Rozteč znaků,exact
Circumference,Obvod,Obvod,exact
Command Loaded:,Příkaz načten:,Příkaz načten:,exact
Delete Separator,Smazat oddělovač,Smazat oddělovač,exact
Display Parameters Used in Expressions,Zobrazit parametry používané ve výrazech,Zobrazit parametry používané ve výrazech,exact
Edit &Plotter Configuration...,Upravit konfiguraci &Plotru...,Upravit &konfiguraci plotru...,normalized
Edit Borders,Upravit okraje,Upravit okraje,exact
Expands the parameter filters tree,Rozbalí strom filtrů parametrů,Rozbalí strom filtrů parametrů,exact
External Reference - Edit,Externí reference - Upravit,Externí reference - Upravit,exact
Import directly,Importujte přímo,Importujte přímo,exact
Item spacing:,Rozteč položek:,Rozteč položek:,exact
Large Icons,Velké ikony,Velké ikony,exact
Layout Preview,Náhled rozvržení,Náhled rozvržení,exact
Linetype for second extension line,Typ čáry pro druhou vynášecí čáru,Typ čáry pro druhou vynášecí čáru,exact
"No command is active, the preview option will also be displayed.\n(System Variable SELECTIONPREVIEW)","Není aktivní žádný příkaz, zobrazí se také možnost náhledu.\n(Systémová proměnná SELECTIONPREVIEW)","Není aktivní žádný příkaz, zobrazí se také možnost náhledu.\n(Systémová proměnná SELECTIONPREVIEW)",exact
Open Drawing Window Colors dialog box and specify colors for interface element in main program window.,Otevřete dialogové okno Barvy okna výkresu a zadejte barvy pro prvek rozhraní v hlavním okně programu.,Otevřete dialogové okno Barvy okna výkresu a zadejte barvy pro prvek rozhraní v hlavním okně programu.,exact
Outlines extraction,Extrakce obrysů,Extrakce obrysů,exact
Pagination Settings,Nastavení stránkování,Nastavení stránkování,exact
Please select at least one field,Vyberte prosím alespoň jedno pole,Vyberte prosím alespoň jedno pole,exact
Plotter Name,Název plotru,Název plotru,exact
Portuguese,Portugalština,portugalština,normalized
Redraw\nAll,Překreslit\nvše,Překreslit\nVše,normalized
Rename Action,Přejmenovat Akci,Přejmenovat akci,normalized
Save Block,Uložit blok,Uložit blok,exact
Sets the segment width of the polyline,Nastaví šířku segmentu křivky,Nastaví šířku segmentu křivky,exact
Specifies the radius of the sphere,Určuje poloměr koule,Určuje poloměr koule,exact
Standard Engineering,Standardní inženýrství,Standardní inženýrství,exact
Text height:,Výška textu:,Výška textu:,exact
Text Tools,Textové nástroje,Textové nástroje,exact
The height of a pixel along the vertical axis.,Výška pixelu podél svislé osy.,Výška pixelu podél svislé osy.,exact
Transparency Method Drop-down,Rozbalovací nabídka Metoda průhlednosti,Rozbalovací nabídka Metoda průhlednosti,exact
Unable to find main dictionary.\nCould not start spell checker.,Nelze najít hlavní slovník.\nNelze spustit kontrolu pravopisu.,Nelze najít hlavní slovník.\nNelze spustit kontrolu pravopisu.,exact
