English,Correct_Czech,AI_Czech,Match_Desc
%d entities selected,%d vybrané entity,Vybráno %d entit,mismatch
%s - PCL Properties Dialog,%s - Panel vlastností PCL,%s - dialogové okno Vlastnosti PCL,mismatch
&Break Size:,Velikost p&řerušení:,&Velikost přestávky:,mismatch
&Scale of Fraction:,M&ěřítko Frakce:,&Měřítko zlomku:,mismatch
&Starting Arrowhead,&Počáteční šipka,&Startovací šipka,mismatch
(Block selected),(Vybraný blok),(Vybrán blok),mismatch
** ITEM SPACING **,** ROZTEČ POLOŽEK **,** VZDÁLENOST POLOŽEK **,mismatch
** MOVE WITH LEADER **,** POSUNOUT TEXT S ODKAZEM **,** POHYB S VŮDCI **,mismatch
3Point _3Point,3Body _3Point,3bod _3bod,mismatch
<Group on>,<Skupina ano>,<Skupina zapnuta>,mismatch
<SLIDEOUT>,<SLIDEOUT>,<VYSUNUTÍ>,mismatch
"\n%ls already exists, do you want to replace it? [Yes/No]\n","\n%ls již existuje, chcete ho nahradit? [Ano/Ne]\n","\n%ls již existuje, chcete jej nahradit? [Ano/Ne]\n",mismatch
\nAbort:,\nZrušit:,\nPřerušit:,mismatch
\nArc/Distance/Follow/Halfwidth/Width/<Next point>:,\nOblouk/vzDálenost/Sledovat/Pološířka/šířKa/<déLka bod>:,\nOblouk/Vzdálenost/Následovat/Poloviční šířka/Šířka/<Další bod>:,mismatch
\nCannot create plane surface due to following endpoints not co-incident:,"\nNelze vytvořit rovinný povrch kvůli následujícím koncovým bodům, které nejsou společné:","\nNelze vytvořit rovinný povrch, protože následující koncové body nejsou shodné:",mismatch
\nChamfer mode now set to Distance method.,\nMetoda zkosení je nastavena na vzdálenost.,\nRežim zkosení je nyní nastaven na Distance method.,mismatch
\nEdge selection has been completely undone,\nVýběr hrany byl celkově vrácen zpět,\nVýběr okraje byl zcela zrušen,mismatch
\nEnter a gradient name or [?/Single color/Two color] <%ls>:,\nZadejte název gradientu nebo [?/Jedna barva/Dvě barvy] <%ls>:,\nZadejte název přechodu nebo [?/Jedna barva/Dvě barvy] <%ls>:,mismatch
\nEnter description <%ls>:,\nZadat popis <%ls>:,\nZadejte popis <%ls>:,mismatch
\nEnter new crop state name:,\nZadejte nový název stavu oříznutí:,\nZadejte název nového stavu oříznutí:,mismatch
\nEnter PDF underlay option [Fade/Contrast/Monochrome] <%ls>:,\nZadejte možnost PDF podložení [Vybledlý/Kontrastní/Černobílý] <%ls>:,\nZadejte možnost podložení PDF [Fade/Contrast/Monochrome] <%ls>:,mismatch
\nEnter search directory and drawing name <%s>:,\nZadejte hledaný adresář a název výkresu <%s>:,\nZadejte vyhledávací adresář a název výkresu <%s>:,mismatch
\nEnter the name(s) of Xref to bind <*>:,\nZadejte název Xref pro vázání <*>:,\nZadejte název (názvy) Xref pro vazbu <*>:,mismatch
\nFail to read database.,\nSelhání čtení databáze.,\nNelze přečíst databázi.,mismatch
\nFile %s not found.,\nSoubor %s nenalezen.,\nSoubor %s nebyl nalezen.,mismatch
\nInput units number in modal space <1.0>:,\nZadejte počet jednotek v modelovém prostoru <1.0>:,\nZadejte počet jednotek v modálním prostoru <1.0>:,mismatch
\nLast saved by: %s,\nNaposledy uložil: %s,\nNaposledy uloženo: %s,mismatch
\nLines with coincident endpoints are needed.,\nJsou požadovány shodné koncové body.,\nJsou potřeba řádky se shodnými koncovými body.,mismatch
"\nLinetype definition (positive numbers for lines, negative for spaces): \n  A,","\nDefinice typu čáry (kladné čísla pro čáry, záporné pro mezery): \n  A,","\nDefinice typu čáry (kladná čísla pro řádky, záporná pro mezery): \n A,",mismatch
\nNo 3dSolids selected.,\nNebylo vybráno žádné 3D Těleso.,\nNení vybrán žádný 3dSolids.,mismatch
"\nPlot scale can't be 0, please input again.","\nMěřítko tisku nemůže být 0, vložte prosím znovu.","\nMěřítko grafu nemůže být 0, zadejte prosím znovu.",mismatch
\nSelect objects or [SIngle/Show all/Hide all/Reset all]:,\nVybrat objekty nebo [Jednotlivě/Zobrazit vše/Skrýt vše/Resetovat vše]:,\nVyberte objekty nebo [JEDNO/Zobrazit vše/Skrýt vše/Obnovit vše]:,mismatch
\nSelect objects whose layer is to be changed:,\nVybrat objekty které se mají změnit:,"\nVyberte objekty, jejichž vrstva se má změnit:",mismatch
"\nSelect objects: 1 found, filtered, total %d","\nVybrat objekty: 1 nalezeno, filtrované, %d celkem","\nVyberte objekty: 1 nalezeno, filtrováno, celkem %d",mismatch
\nSpecify parameter point to associate with action or enter [Base point/Second point/Xcorner/Ycorner]%ls:,\nUrčete bod parametru pro asociaci s akcí nebo zadejte [Základní bod/Druhý bod/Xroh/Yroh]%ls:,"\nZadejte bod parametru, který chcete přiřadit k akci, nebo zadejte [Základní bod/Druhý bod/Xcorner/Ycorner]%ls:",mismatch
\nSpecify start point or [Name/Label/Chain/Description/Base/Palette/Value set]:,\nUrčete počáteční bod nebo [Název/Štítek/Řetězec/Popis/Základní/pAleta/Hodnota nastavení]:,\nUveďte počáteční bod nebo [Název/Štítek/Řetěz/Popis/Základ/Paleta/Sada hodnot]:,mismatch
\nSpecify the first point or [Method/Degree/Object]:,\nZadejte první bod nebo [Metoda/Stupeň/Objekt]:,\nUrčete první bod nebo [Metoda/Stupeň/Objekt]:,mismatch
\nSpecify the location of dimension arc line or [Mtext/Text/Angle]:,\nUrčit umístění obloukové kóty nebo [Mtext/Text/Úhel]:,\nUrčete umístění kótovací obloukové čáry nebo [Mtext/Text/Úhel]:,mismatch
\nSpecify the next point or [Angle/Length/Follow/Undo]:,\nUrčete další bod nebo [Úhel/Délka/Sledovat/Zpět]:,\nUrčete další bod nebo [Úhel/Délku/Následovat/Zpět]:,mismatch
\nSpecify the offset distance of polygon or [Radius/Equidistant/Undo] <%ls>:,\nUrčete vzdálenost odsazení mnohoúhelníku nebo [poloměR/Odsazení/Zpět] <%ls>:,\nUrčete vzdálenost odsazení polygonu nebo [Radius/Equidistant/Undo] <%ls>:,mismatch
"\nThe block ""%ls"" already exists. Would you like to redefine it?","\nBlok ""%ls"" již existuje. Chcete ho předefinovat?","\nBlok ""% ls"" již existuje. Chtěli byste to předefinovat?",mismatch
\nTimer is off.,\nČasovač vypnut.,\nČasovač je vypnutý.,mismatch
A valid distance is needed. Please try again.,Je potřeba platná vzdálenost. Zkuste to prosím znovu.,Je vyžadována platná vzdálenost. Zkuste to prosím znovu.,mismatch
Alt sub-zero factor,Alt sub-zero faktor,Alt mínus faktor,mismatch
Always Display as WYSIWYG,Vždy zobrazit jako WYSIWYG,Vždy zobrazovat jako WYSIWYG,mismatch
Ang type,Typ úhlu,Typ Ang,mismatch
Annotation scale is not equal to viewport scale: Click to synchronize,Poznámkové měřítko není rovno měřítku výřezu: Klikněte pro synchronizaci,Měřítko anotace se nerovná měřítku výřezu: Klepnutím synchronizujte,mismatch
Arc Dimension,Kóta oblouku,Dimenze oblouku,mismatch
Arc Length Total Undo Close _Arc Length Total Undo Close,Oblouk Délka Celkový Zpět Uzavři _Arc Length Total Undo Close,Délka oblouku Celkem Zpět Zavřít _Délka oblouku Celkem Zpět Zavřít,mismatch
Archive,Archivní,Archiv,partial
Array - Associative Path Array,Pole - Asociativní cesta pole,Pole - Asociativní pole cest,mismatch
Attach DWG,Přiložit DWG,Připojte DWG,mismatch
ATTIPEDIT,ATIPEDIT,ATTIPEDIT,mismatch
Autosave file:,Soubor Autoulož:,Automatické ukládání souboru:,mismatch
